id;imdb_id;popularity;budget;revenue;original_title;cast;homepage;director;tagline;keywords;overview;runtime;genres;production_companies;release_date;vote_count;vote_average;release_year;budget_adj;revenue_adj
135397;tt0369610;32.985763;150000000;1513528810;Jurassic World;Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson;http://www.jurassicworld.com/;Colin Trevorrow;The park is open.;monster|dna|tyrannosaurus rex|velociraptor|island;Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.;124;Action|Adventure|Science Fiction|Thriller;Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu;06/09/2015;5562;6.5;2015;137999939.3;1392445893
76341;tt1392190;28.419936;150000000;378436354;Mad Max: Fury Road;Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman;http://www.madmaxmovie.com/;George Miller;What a Lovely Day.;future|chase|post-apocalyptic|dystopia|australia;An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.;120;Action|Adventure|Science Fiction|Thriller;Village Roadshow Pictures|Kennedy Miller Productions;5/13/2015;6185;7.1;2015;137999939.3;348161292.5
262500;tt2908446;13.112507;110000000;295238201;Insurgent;Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller;http://www.thedivergentseries.movie/#insurgent;Robert Schwentke;One Choice Can Destroy You;based on novel|revolution|dystopia|sequel|dystopic future;Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.;119;Adventure|Science Fiction|Thriller;Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel;3/18/2015;2480;6.3;2015;101199955.5;271619025.4
140607;tt2488496;11.173104;200000000;2068178225;Star Wars: The Force Awakens;Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley;http://www.starwars.com/films/star-wars-episode-vii;J.J. Abrams;Every generation has a story.;android|spaceship|jedi|space opera|3d;Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.;136;Action|Adventure|Science Fiction|Fantasy;Lucasfilm|Truenorth Productions|Bad Robot;12/15/2015;5292;7.5;2015;183999919;1902723130
168259;tt2820852;9.335014;190000000;1506249360;Furious 7;Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson;http://www.furious7.com/;James Wan;Vengeance Hits Home;car race|speed|revenge|suspense|car;Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.;137;Action|Crime|Thriller;Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films;04/01/2015;2947;7.3;2015;174799923.1;1385748801
281957;tt1663202;9.1107;135000000;532950503;The Revenant;Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson;http://www.foxmovies.com/movies/the-revenant;Alejandro GonzÃ¡lez IÃ±Ã¡rritu;(n. One who has returned, as if from the dead.);father-son relationship|rape|based on novel|mountains|winter;In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.;156;Western|Drama|Adventure|Thriller;Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures;12/25/2015;3929;7.2;2015;124199945.4;490314247
286217;tt3659388;7.6674;108000000;595380321;The Martian;Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a;http://www.foxmovies.com/movies/the-martian;Ridley Scott;Bring Him Home;based on novel|mars|nasa|isolation|botanist;During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.;141;Drama|Adventure|Science Fiction;Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment;9/30/2015;4572;7.6;2015;99359956.28;547749654.3
211672;tt2293640;7.404165;74000000;1156730962;Minions;Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan;http://www.minionsmovie.com/;Kyle Balda|Pierre Coffin;Before Gru, they had a history of bad bosses;assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions;Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.;91;Family|Animation|Adventure|Comedy;Universal Pictures|Illumination Entertainment;6/17/2015;2893;6.5;2015;68079970.04;1064192017
150540;tt2096673;6.326804;175000000;853708609;Inside Out;Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black;http://movies.disney.com/inside-out;Pete Docter;Meet the little voices inside your head.;dream|cartoon|imaginary friend|animation|kid;Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.;94;Comedy|Animation|Family;Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures;06/09/2015;3935;8;2015;160999929.2;785411574.7
206647;tt2379713;6.200282;245000000;880674609;Spectre;Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci;http://www.sonypictures.com/movies/spectre/;Sam Mendes;A Plan No One Escapes;spy|based on novel|secret agent|sequel|james bond;A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.;148;Action|Adventure|Crime;Columbia Pictures|Danjaq|B24;10/26/2015;3254;6.2;2015;225399900.8;810220283.8
76757;tt1617661;6.189369;176000003;183987723;Jupiter Ascending;Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth;http://www.jupiterascending.com;Lana Wachowski|Lilly Wachowski;Expand your universe.;jupiter|space|woman director|3d|interspecies romance;In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyâ€¦;124;Science Fiction|Fantasy|Action|Adventure;Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.;02/04/2015;1937;5.2;2015;161919931.5;169268630.7
264660;tt0470752;6.118847;15000000;36869414;Ex Machina;Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson;http://exmachina-movie.com/;Alex Garland;There is nothing more human than the will to survive;dancing|artificial intelligence|helicopter|distrust|isolation;Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.;108;Drama|Science Fiction;DNA Films|Universal Pictures International (UPI)|Film4;1/21/2015;2854;7.6;2015;13799993.93;33919845.96
257344;tt2120120;5.984995;88000000;243637091;Pixels;Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James;http://www.pixels-movie.com/;Chris Columbus;Game On.;video game|nerd|alien attack|3d|pixels;Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.;105;Action|Comedy|Science Fiction;Columbia Pictures|Happy Madison Productions;7/16/2015;1575;5.8;2015;80959964.38;224146025.1
99861;tt2395427;5.944927;280000000;1405035767;Avengers: Age of Ultron;Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson;http://marvel.com/movies/movie/193/avengers_age_of_ultron;Joss Whedon;A New Age Has Come.;marvel comic|comic|sequel|superhero|vision;When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.;141;Action|Adventure|Science Fiction;Marvel Studios|Prime Focus|Revolution Sun Studios;4/22/2015;4304;7.4;2015;257599886.7;1292632337
273248;tt3460252;5.8984;44000000;155760117;The Hateful Eight;Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir;http://thehatefuleight.com/;Quentin Tarantino;No one comes up here without a damn good reason.;bounty hunter|wyoming|mountains|hangman|voice over narration;Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.;167;Crime|Drama|Mystery|Western;Double Feature Films|The Weinstein Company|FilmColony;12/25/2015;2389;7.4;2015;40479982.19;143299244.6
260346;tt2446042;5.749758;48000000;325771424;Taken 3;Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott;http://www.taken3movie.com/;Olivier Megaton;It Ends Here;revenge|murder|on the run|fugitive|framed;Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.;109;Crime|Action|Thriller;Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+;01/01/2015;1578;6.1;2015;44159980.57;299709578.2
102899;tt0478970;5.573184;130000000;518602163;Ant-Man;Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale;http://marvel.com/movies/movie/180/ant-man;Peyton Reed;Heroes Don't Get Any Bigger;marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe;Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.;115;Science Fiction|Action|Adventure;Marvel Studios;7/14/2015;3779;7;2015;119599947.4;477113780
150689;tt1661199;5.556818;95000000;542351353;Cinderella;Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger;;Kenneth Branagh;Midnight is just the beginning.;cinderella|magic|fairy tale|princess|shoe;When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.;112;Romance|Fantasy|Family|Drama;Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions;03/12/2015;1495;6.8;2015;87399961.54;498963025.2
131634;tt1951266;5.476958;160000000;650523427;The Hunger Games: Mockingjay - Part 2;Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks;http://www.thehungergames.movie/;Francis Lawrence;The fire will burn forever.;revolution|strong woman|dystopia|game of death|3d;With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends â€“ including Gale, Finnick, and Peeta â€“ Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.;136;War|Adventure|Science Fiction;Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force;11/18/2015;2380;6.5;2015;147199935.2;598481289.5
158852;tt1964418;5.462138;190000000;209035668;Tomorrowland;Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie;http://movies.disney.com/tomorrowland;Brad Bird;Imagine a world where nothing is impossible.;inventor|apocalypse|destiny|imax|dreamer;"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""";130;Action|Family|Science Fiction|Adventure|Mystery;Walt Disney Pictures|Babieka|A113;5/19/2015;1899;6.2;2015;174799923.1;192312729.9
307081;tt1798684;5.337064;30000000;91709827;Southpaw;Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent;;Antoine Fuqua;Believe in Hope.;sport;"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.";123;Action|Drama;Escape Artists|Riche-Ludwig Productions;6/15/2015;1386;7.3;2015;27599987.86;84373003.72
254128;tt2126355;4.907832;110000000;470490832;San Andreas;Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi;http://www.sanandreasmovie.com/;Brad Peyton;A rescue pilot survived an earthquake, this is what happens next;california|earthquake|catastrophe|disaster film|3d;In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.;114;Action|Drama|Thriller;New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company;5/27/2015;2060;6.1;2015;101199955.5;432851375
216015;tt2322441;4.710402;40000000;569651467;Fifty Shades of Grey;Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk;https://www.facebook.com/fiftyshadesofgreymovie;Sam Taylor-Johnson;Are you curious?;based on novel|billionaire|bdsm|woman director|erotic movie;When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.;125;Drama|Romance;Focus Features|Trigger Street Productions|Michael De Luca Productions;02/11/2015;1865;5.3;2015;36799983.81;524079119
318846;tt1596363;4.648046;28000000;133346506;The Big Short;Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo;http://www.thebigshortmovie.com/;Adam McKay;This is a true story.;bank|fraud|biography|wall street|finances;The men who made millions from a global economic meltdown.;130;Comedy|Drama;Paramount Pictures|Plan B Entertainment|Regency Enterprises;12/11/2015;1545;7.3;2015;25759988.67;122678731.5
